pre,post,cleft_score,pre_x,pre_y,pre_z,post_x,post_y,post_z,id,pre_name,post_name
720575940622831740,720575940631221303,88,326252,278432,253680,326276,278584,253720,74797100,VS3_L,VS2_L
720575940622831740,720575940622361270,138,483132,270344,205080,483284,270240,205080,30882515,VS3_L,MOS_L
720575940622831740,720575940631221303,141,324852,275944,255600,324732,275980,255600,81266950,VS3_L,VS2_L
720575940622831740,720575940631221303,149,325696,278800,254680,325628,278932,254640,74797308,VS3_L,VS2_L
720575940629148007,720575940610381525,138,613684,292708,190720,613540,292616,190720,62225802,HSE_R,MOT_R
720575940629153020,720575940618519710,152,447816,290416,207120,447728,290504,207120,129866241,HSE_L,MOT_L
720575940630367131,720575940610381525,138,583276,284144,173360,583240,284248,173400,112788324,HSN_R,MOT_R
720575940622168052,720575940610381525,69,611620,289576,200960,611692,289728,200920,169359517,MOS_R,MOT_R
720575940630367131,720575940622168052,145,596096,294776,189280,596000,294740,189240,173644761,HSN_R,MOS_R
720575940622831740,720575940631221303,140,487776,245080,195040,487768,245068,195000,58900634,VS3_L,VS2_L
720575940629148007,720575940610381525,143,611748,302488,190080,611756,302588,190080,62090263,HSE_R,MOT_R
720575940630367131,720575940610381525,145,613052,300820,192680,613128,300880,192720,58086840,HSN_R,MOT_R
720575940622831740,720575940622361270,139,482960,270028,205000,483104,270048,205000,30927990,VS3_L,MOS_L
720575940630367131,720575940610381525,149,598432,297024,191400,598556,297024,191400,61877960,HSN_R,MOT_R
720575940622168052,720575940610381525,70,599844,278840,185520,599808,278916,185560,185287850,MOS_R,MOT_R
720575940622831740,720575940631221303,145,325104,276584,254800,325008,276520,254840,74671837,VS3_L,VS2_L
720575940641812699,720575940622168052,70,586008,250192,192760,585964,250292,192760,58329026,VS3_R,MOS_R
720575940622831740,720575940622361270,94,494680,231212,188440,494608,231128,188440,174368997,VS3_L,MOS_L
720575940641812699,720575940622168052,146,586264,250348,192880,586148,250364,192880,58287385,VS3_R,MOS_R
720575940622312965,720575940618519710,141,445932,288336,204400,445800,288340,204400,149309093,HSS_L,MOT_L
720575940631221303,720575940622361270,95,481596,235136,191240,481680,235164,191320,62005047,VS2_L,MOS_L
720575940631221303,720575940622361270,142,484976,235176,194720,484912,235080,194760,194900702,VS2_L,MOS_L
720575940631221303,720575940622361270,131,485544,270748,205520,485648,270740,205560,30882552,VS2_L,MOS_L
720575940622831740,720575940631221303,148,326248,278276,253480,326112,278264,253440,118254540,VS3_L,VS2_L
720575940622831740,720575940631221303,145,325888,278828,254640,325872,278984,254640,74797309,VS3_L,VS2_L
720575940623650684,720575940631221303,138,314528,189576,248680,314492,189744,248680,49379621,VS4_L,VS2_L
720575940622831740,720575940631221303,143,303144,239652,258720,303236,239768,258720,225062465,VS3_L,VS2_L
720575940630367131,720575940610381525,57,600536,276416,193240,600608,276504,193240,195807173,HSN_R,MOT_R
720575940630367131,720575940622168052,140,587548,279272,184360,587532,279140,184320,166156697,HSN_R,MOS_R
720575940622831740,720575940622361270,145,472040,250320,203880,472004,250464,203880,149132388,VS3_L,MOS_L
720575940630367131,720575940608023497,170,702608,242308,224200,702736,242380,224200,99934329,HSN_R,VS1_R
720575940630367131,720575940622168052,139,587980,278100,187280,587852,278076,187240,67386093,HSN_R,MOS_R
720575940622312965,720575940618519710,163,444856,276156,202320,444848,276276,202360,186963156,HSS_L,MOT_L
720575940608023497,720575940625565448,67,739716,297224,213440,739812,297248,213480,139994708,VS1_R,VS2_R
720575940625565448,720575940608023497,80,719800,226516,221080,719720,226484,221080,234935999,VS2_R,VS1_R
720575940641812699,720575940622168052,140,578840,268988,196040,578964,269080,196080,60768675,VS3_R,MOS_R
720575940618519710,720575940622361270,57,452572,241384,207000,452592,241380,207040,130280332,MOT_L,MOS_L
720575940622361270,720575940618519710,68,469892,257260,189440,469888,257360,189480,175519910,MOS_L,MOT_L
720575940622831740,720575940631221303,75,327024,278448,253320,327112,278552,253320,118254514,VS3_L,VS2_L
720575940631221303,720575940622361270,90,485056,235204,194360,484944,235096,194360,194900671,VS2_L,MOS_L
720575940632950585,720575940622168052,109,605384,304276,188320,605252,304312,188200,173837657,HSS_R,MOS_R
720575940632950585,720575940622168052,143,604696,303304,188680,604608,303240,188680,173835579,HSS_R,MOS_R
720575940641812699,720575940622168052,139,591316,253060,195240,591276,253160,195240,60946852,VS3_R,MOS_R
720575940629148007,720575940610381525,64,610712,302368,189600,610852,302372,189600,173836369,HSE_R,MOT_R
720575940629148007,720575940610381525,135,614636,289748,190000,614508,289664,190000,61724798,HSE_R,MOT_R
720575940629148007,720575940610381525,141,619088,276152,192040,619020,276152,192040,57592993,HSE_R,MOT_R
720575940630367131,720575940622168052,129,586704,280592,181680,586672,280484,181680,156641441,HSN_R,MOS_R
720575940632950585,720575940610381525,57,627360,287716,185400,627504,287744,185400,185461502,HSS_R,MOT_R
720575940608023497,720575940641812699,135,726696,306904,211800,726672,306828,211800,198337265,VS1_R,VS3_R
720575940625565448,720575940608023497,57,631096,257820,210240,631168,257900,210240,66003065,VS2_R,VS1_R
